control/current_gate_mode,Time-Critical-Small,2821
control/external_cmd_selector/current_selector_mode,Time-Critical-Small,2819
control/shift_decider/gear_cmd,Time-Critical-Small,2823
control/trajectory_follower/longitudinal/slope_angle,Time-Critical-Small,5648
control/vehicle_cmd_gate/is_filter_activated,Time-Critical-Small,5642
control/vehicle_cmd_gate/is_filter_activated/flag,Time-Critical-Small,5641
control/vehicle_cmd_gate/is_paused,Time-Critical-Small,1
control/vehicle_cmd_gate/is_start_requested,Time-Critical-Small,1
control/vehicle_cmd_gate/is_stopped,Time-Critical-Small,1
control/vehicle_cmd_gate/operation_mode,Time-Critical-Small,2816
diagnostics,Less-Critical,105772
diagnostics_graph/status,Less-Critical,2833
diagnostics_graph/struct,Less-Critical,1
diagnostics_graph/unknowns,Less-Critical,2833
localization/acceleration,Time-Critical-Small,5647
localization/initialization_state,Time-Critical-Small,1
localization/pose_estimator/initial_pose_with_covariance,Time-Critical-Small,2846
localization/pose_estimator/initial_to_result_distance,Time-Critical-Small,2841
localization/pose_estimator/initial_to_result_distance_new,Time-Critical-Small,2855
localization/pose_estimator/initial_to_result_distance_old,Time-Critical-Small,2856
localization/pose_estimator/initial_to_result_relative_pose,Time-Critical-Small,2848
localization/pose_estimator/iteration_num,Time-Critical-Small,2857
localization/pose_estimator/monte_carlo_initial_pose_marker,Time-Critical-Small,0
localization/pose_estimator/multi_initial_pose,Time-Critical-Small,0
localization/pose_estimator/multi_ndt_pose,Time-Critical-Small,0
localization/pose_estimator/ndt_marker,Time-Critical-Small,2847
localization/pose_estimator/nearest_voxel_transformation_likelihood,Time-Critical-Small,2844
localization/pose_estimator/no_ground_nearest_voxel_transformation_likelihood,Time-Critical-Small,0
localization/pose_estimator/no_ground_transform_probability,Time-Critical-Small,0
localization/pose_estimator/points_aligned,Time-Critical-Small,2849
localization/pose_estimator/points_aligned_no_ground,Time-Critical-Small,0
localization/pose_estimator/transform_probability,Time-Critical-Small,2848
localization/pose_estimator/voxel_score_points,Time-Critical-Small,2858
localization/pose_twist_fusion_filter/biased_pose,Time-Critical-Small,5629
localization/pose_twist_fusion_filter/biased_pose_with_covariance,Time-Critical-Small,5627
localization/pose_twist_fusion_filter/estimated_yaw_bias,Time-Critical-Small,5624
localization/pose_twist_fusion_filter/kinematic_state,Time-Critical-Small,5630
localization/twist_estimator/gyro_twist,Time-Critical-Small,5627
localization/twist_estimator/gyro_twist_raw,Time-Critical-Small,5616
localization/twist_estimator/twist_with_covariance_raw,Time-Critical-Small,5625
localization/util/crop_box_filter_measurement_range/crop_box_polygon,Time-Critical-Small,2849
localization/util/downsample/pointcloud,Time-Critical-Small,2855
localization/util/measurement_range/pointcloud,Time-Critical-Small,2855
localization/util/voxel_grid_downsample/pointcloud,Time-Critical-Small,2855
perception/object_recognition/detection/centerpoint/validation/objects,Time-Critical-Small,2841
perception/object_recognition/detection/clustering/clusters,Time-Critical-Small,2850
perception/object_recognition/detection/clustering/objects,Time-Critical-Small,2850
perception/object_recognition/detection/clustering/objects_with_feature,Time-Critical-Small,2848
perception/object_recognition/detection/objects_before_filter,Time-Critical-Small,2854
perception/object_recognition/detection/pointcloud_map_filtered/pointcloud,Time-Critical-Small,2848
perception/object_recognition/detection/temporary_merged_objects,Time-Critical-Small,2855
perception/obstacle_segmentation/crop_box_filter/crop_box_polygon,Time-Critical-Small,2855
perception/obstacle_segmentation/pointcloud,Time-Critical-Small,2847
perception/obstacle_segmentation/pointcloud_map_filtered/downsampled/pointcloud,Time-Critical-Small,2857
perception/obstacle_segmentation/range_cropped/pointcloud,Time-Critical-Small,2851
perception/obstacle_segmentation/single_frame/pointcloud,Time-Critical-Small,2854
planning/mission_planning/checkpoint,Time-Critical-Small,0
planning/mission_planning/echo_back_goal_pose,Time-Critical-Small,1
planning/mission_planning/goal,Time-Critical-Small,0
planning/mission_planning/route,Time-Critical-Small,1
planning/mission_planning/route_marker,Time-Critical-Small,1
planning/mission_planning/route_selector/main/route,Time-Critical-Small,1
planning/mission_planning/route_selector/main/state,Time-Critical-Small,1
planning/mission_planning/route_selector/mrm/route,Time-Critical-Small,0
planning/mission_planning/route_selector/mrm/state,Time-Critical-Small,1
planning/mission_planning/state,Time-Critical-Small,1
planning/mission_remaining_distance_time,Time-Critical-Small,2823
planning/path_candidate/avoidance_by_lane_change,Time-Critical-Small,2821
planning/path_candidate/goal_planner,Time-Critical-Small,2813
planning/path_candidate/lane_change_left,Time-Critical-Small,2813
planning/path_candidate/lane_change_right,Time-Critical-Small,2811
planning/path_candidate/side_shift,Time-Critical-Small,2813
planning/path_candidate/start_planner,Time-Critical-Small,2812
planning/path_candidate/static_obstacle_avoidance,Time-Critical-Small,2812
planning/path_reference/avoidance_by_lane_change,Time-Critical-Small,2813
planning/path_reference/goal_planner,Time-Critical-Small,2812
planning/path_reference/lane_change_left,Time-Critical-Small,2812
planning/path_reference/lane_change_right,Time-Critical-Small,2812
planning/path_reference/side_shift,Time-Critical-Small,2812
planning/path_reference/start_planner,Time-Critical-Small,2812
planning/path_reference/static_obstacle_avoidance,Time-Critical-Small,2822
planning/scenario_planning/clear_velocity_limit,Time-Critical-Small,0
planning/scenario_planning/current_max_velocity,Time-Critical-Small,1
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/drivable_lanes/avoidance_by_lane_change,Time-Critical-Small,2811
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/drivable_lanes/goal_planner,Time-Critical-Small,2811
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/drivable_lanes/lane_change_left,Time-Critical-Small,2811
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/drivable_lanes/lane_change_right,Time-Critical-Small,2810
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/drivable_lanes/side_shift,Time-Critical-Small,2809
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/drivable_lanes/start_planner,Time-Critical-Small,2810
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/drivable_lanes/static_obstacle_avoidance,Time-Critical-Small,2819
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/output/is_reroute_available,Time-Critical-Small,2834
